Date,Price,Open,High,Low,Vol.,Change %
2019-02-07,3397.70,3404.90,3421.80,3390.30,471.36K,-0.20%
2019-02-08,3661.70,3397.30,3721.10,3382.50,699.23K,7.77%
2019-02-09,3661.40,3661.60,3675.30,3633.20,454.80K,-0.01%
2019-02-10,3679.00,3661.00,3680.60,3617.10,501.90K,0.48%
2019-02-11,3631.80,3678.80,3681.10,3623.80,517.28K,-1.28%
2019-02-12,3632.00,3631.80,3656.40,3594.40,545.82K,0.01%
2019-02-13,3611.50,3632.00,3663.50,3599.20,558.02K,-0.56%
2019-02-14,3592.60,3611.50,3624.50,3580.20,498.14K,-0.52%
2019-02-15,3604.70,3592.60,3648.30,3581.40,516.21K,0.34%
2019-02-16,3616.80,3604.70,3641.90,3599.70,485.63K,0.34%
2019-02-17,3664.20,3616.80,3689.90,3607.90,580.51K,1.31%
2019-02-18,3896.00,3664.20,3903.70,3655.10,933.15K,6.33%
2019-02-19,3914.30,3896.40,3993.80,3863.70,1.44M,0.47%
2019-02-20,3972.40,3914.30,3983.60,3881.20,698.01K,1.48%
2019-02-21,3936.60,3972.00,4011.50,3909.20,668.16K,-0.90%
2019-02-22,3965.20,3937.40,3983.10,3931.70,649.55K,0.73%
2019-02-23,4120.40,3965.20,4152.60,3939.40,727.85K,3.91%
2019-02-24,3755.20,4120.50,4194.20,3738.70,977.78K,-8.86%
2019-02-25,3833.70,3755.70,3870.70,3753.80,765.87K,2.09%
2019-02-26,3810.30,3833.50,3845.50,3775.00,2.09M,-0.61%
2019-02-27,3814.60,3810.30,3836.40,3701.90,2.82M,0.11%
2019-02-28,3816.60,3814.60,3883.70,3783.30,2.31M,0.05%
2019-03-01,3821.90,3816.70,3855.80,3816.40,1.74M,0.14%
2019-03-02,3823.10,3821.90,3843.20,3783.60,1.61M,0.03%
2019-03-03,3809.50,3823.20,3836.60,3789.70,1.51M,-0.36%
2019-03-04,3715.90,3809.70,3828.40,3681.80,2.85M,-2.45%
2019-03-05,3857.20,3715.90,3873.20,3705.70,3.82M,3.80%
2019-03-06,3863.00,3857.20,3887.30,3816.70,2.52M,0.15%
